"","Behaviour_1","days.mean","days.min","days.max","fix.mean","fix.min","fix.max","hr.mean","hr.min","hr.max","rad.mean","rad.min","rad.max","count"
"1","Kill",-19.3155339805825,-59,7,16.2928802588997,2,129,73.0566857605178,1.5,674,188.990291262136,2,523,618
"2","Resting",-20.7114285714286,-59,6,9.32285714285714,2,115,41.1724551428571,1.5,426,138.865714285714,1,479,350
"3","Scavenging",-20.3963414634146,-56,6,14.6707317073171,2,94,89.2091054878049,2,450,204.896341463415,5,498,164
"4","Probable kill",-22.9526066350711,-58,4,9.03791469194313,2,73,48.9430758293839,1.5,436,158.497630331754,3,496,211
"5","Unknown",-26.4415584415584,-59,7,7.77272727272727,2,67,52.7792805194805,2,450,145.324675324675,3,474,154
"6","Den",-20.6190476190476,-56,7,41.8253968253968,2,135,240.786644444444,2,1060,211.238095238095,15,430,63
"7","Rendez-vous",-30.1176470588235,-56,-3,39.1176470588235,3,130,242.001617647059,4,656,243.823529411765,83,451,17
