"","Behaviour_1","days.med","days.mean","days.min","days.max","fix.med","fix.mean","fix.min","fix.max","hr.med","hr.mean","hr.min","hr.max","rad.med","rad.mean","rad.min","rad.max","rev.med","rev.mean","rev.min","rev.max","away.med","away.mean","away.min","away.max","count"
"1","Kill",-19,-29.3850174216028,-270,5,11,18.2961672473868,2,178,50.00195,78.8902736933798,1.5,674,196,197.132404181185,4,523,1,2.14285714285714,0,17,0.348516218081436,0.371593236754762,0,0.956521739130435,574
"2","Revisit",-8,-15.2877358490566,-133,96,6,8.93396226415094,2,72,16.5,44.8956594339623,1.5,480,140,152.61320754717,1,451,0,1.00943396226415,0,16,0,0.28460030876675,0,0.962264150943396,212
"3","Resting",-19,-23.9220779220779,-156,6,7,9.53506493506494,2,115,15.9767,42.8320846753247,1.5,426,121,139.535064935065,1,479,0,1.06493506493506,0,15,0,0.266822556378284,0,0.951219512195122,385
"4","Scavenging",-20,-25.9387755102041,-267,52,8,13.8928571428571,2,94,45,81.8951821428572,1.9631,450,198,198.954081632653,5,513,1,2.46938775510204,0,17,0.535897435897436,0.434580690164838,0,0.948717948717949,196
"5","Probable kill",-21,-28.1608695652174,-157,4,6,8.80434782608696,2,73,18,48.3414643478261,1.5,436,146,156.804347826087,3,496,1,1.12173913043478,0,13,0.148351648351649,0.322730159948823,0,0.954545454545455,230
"6","Unknown",-25,-29.7030303030303,-152,7,5,7.4969696969697,2,67,20,51.9301563636364,2,450,126,146.212121212121,3,474,1,1.28484848484848,0,17,0.456521739130435,0.414322594803341,0,0.958333333333333,165
"7","Den",-30,-46.1047619047619,-175,37,27,54.3714285714286,2,260,182,277.119287619048,2,1345.5,241,232.819047619048,15,489,5,8.72380952380952,0,40,0.529411764705882,0.469726298089999,0,0.879699248120301,105
"8","Rendez-vous",-47,-58.7333333333333,-169,-3,22.5,40,3,130,167.00835,217.28425,4,656,276,255.2,69,488,5,7.1,0,20,0.583659439450027,0.498487387715278,0,0.923076923076923,30
