"","Behaviour_1","days.iqr","fix.iqr","hr.iqr","rad.iqr","rev.iqr","away.iqr","count"
"1","Kill",29.75,16,91.49885,167,3,0.680504201680672,574
"2","Revisit",40.25,6,47.495,135,1,0.666666666666667,212
"3","Resting",22,6,48,171,1,0.585365853658537,385
"4","Scavenging",32,12,106.0007,174.75,3,0.759920634920635,196
"5","Probable kill",27.75,6,67.5,166,1,0.689913127413128,230
"6","Unknown",27,5,76,179,2,0.787234042553192,165
"7","Den",65,67,385.9833,193,13,0.38471673254282,105
"8","Rendez-vous",51.75,62.75,342.879175,168,11.75,0.482957079152731,30
